naics_2007_us_code,wage_offer_from_9089,wage_offer_unit_of_pay_9089,country_of_citzenship,employer_state,pw_level_9089,case_status,class_of_admission
325414.0,22.25,1.0,26,21,0,3,10
541430.0,123500.0,2.0,66,4,2,2,29
523110.0,200000.0,2.0,61,36,2,2,16
541430.0,123500.0,2.0,19,4,2,2,16
23.0,39520.0,2.0,36,4,0,2,16
541511.0,72426.0,2.0,57,46,0,2,16
623312.0,25000.0,2.0,102,4,2,2,3
238190.0,26.68,1.0,61,36,0,2,16
334119.0,95327.0,2.0,57,4,1,0,16
3344.0,101300.0,2.0,126,4,2,2,16
53131.0,14.86,1.0,85,36,1,0,9
5419.0,58240.0,2.0,57,4,1,2,16
541870.0,85000.0,2.0,57,46,2,2,16
2211.0,50686.0,2.0,57,21,1,2,16
623110.0,52000.0,2.0,102,36,0,2,16
334220.0,97760.0,2.0,57,4,2,2,16
622110.0,171200.0,2.0,97,52,1,2,16
238140.0,15.54,1.0,35,36,0,0,9
524298.0,200000.0,2.0,138,38,1,0,16
623311.0,55350.0,2.0,113,48,0,0,3
445110.0,22.7,1.0,34,36,2,0,9
541512.0,68474.0,2.0,57,8,1,2,16
447110.0,34445.0,2.0,89,21,1,2,37
541519.0,35.51,1.0,57,33,1,3,16
624410.0,62000.0,2.0,85,54,0,2,16
611310.0,152776.0,2.0,57,40,0,2,16
541613.0,125400.0,2.0,24,15,0,2,16
334510.0,76689.6,2.0,57,36,1,2,16
446110.0,56.5,1.0,69,42,0,2,16
335212.0,13.09,1.0,131,36,2,0,3
541511.0,42.48,1.0,57,33,1,0,16
236220.0,60424.0,2.0,93,7,0,0,16
522294.0,68600.0,2.0,57,48,1,2,16
424490.0,15.84,1.0,57,10,2,0,27
541511.0,72966.0,2.0,57,10,0,0,16
23611.0,54766.0,2.0,27,10,2,0,16
611110.0,57600.0,2.0,18,48,3,0,3
446110.0,33.44,1.0,57,33,0,2,16
721199.0,28.5,1.0,116,4,0,0,7
52211.0,100000.0,2.0,57,35,0,2,16
541512.0,37398.0,2.0,57,18,0,3,16
814110.0,12.04,1.0,103,6,3,3,10
51721.0,91600.0,2.0,57,46,2,2,16
813410.0,21.76,1.0,81,36,1,2,16
541512.0,37398.0,2.0,57,18,0,3,16
611310.0,7651400.0,2.0,3,21,3,0,16
722110.0,14.84,1.0,35,36,2,0,9
541519.0,37.06,1.0,57,33,0,2,16
541511.0,84552.0,2.0,57,4,0,0,16
447110.0,40664.0,2.0,137,29,0,2,16
7221.0,15.17,1.0,97,36,2,0,3
814110.0,8.42,1.0,102,39,0,3,3
711320.0,37606.0,2.0,131,48,2,0,36
484230.0,87000.0,2.0,57,52,1,2,16
238220.0,28.46,1.0,18,33,2,2,3
334220.0,80000.0,2.0,57,36,1,2,16
541320.0,15.28,1.0,118,4,0,0,24
611310.0,40000.0,2.0,66,10,0,2,16
423690.0,72000.0,2.0,116,15,0,0,10
517910.0,74901.0,2.0,57,4,1,2,16
334611.0,118435.0,2.0,115,4,1,0,26
721110.0,11.52,1.0,27,36,1,0,2
722110.0,11.58,1.0,85,36,1,0,9
541511.0,80000.0,2.0,57,9,2,2,16
522293.0,82000.0,2.0,19,33,1,2,16
31181.0,12.84,1.0,35,36,2,0,9
446110.0,40.0,1.0,93,21,0,2,3
814110.0,9.3,1.0,35,36,1,0,9
511110.0,38000.0,2.0,116,10,1,2,10
447110.0,49234.0,2.0,97,46,3,2,3
54121.0,41808.0,2.0,116,15,0,0,10
541330.0,76461.0,2.0,26,46,1,2,16
621399.0,62379.0,2.0,116,51,1,2,10
721214.0,30.0,1.0,57,36,1,2,16
814110.0,9.83,1.0,102,33,0,0,3
722110.0,18.68,1.0,35,6,3,3,9
541990.0,73112.0,2.0,57,4,0,2,16
713210.0,26.58,1.0,57,18,1,2,16
814110.0,14.0,1.0,57,23,0,0,3
4234.0,26.76,1.0,133,36,1,2,7
551112.0,140000.0,2.0,97,15,1,2,16
611310.0,49897.0,2.0,133,36,2,2,16
611110.0,37440.0,2.0,42,46,0,2,16
623110.0,50669.0,2.0,102,15,1,0,3
541511.0,60000.0,2.0,57,10,0,2,16
54121.0,129792.0,2.0,136,33,3,2,16
541511.0,36.03,1.0,57,36,1,2,16
814110.0,11.09,1.0,93,21,0,0,9
454112.0,80538.0,2.0,57,6,1,2,16
611110.0,52978.0,2.0,27,20,0,2,16
522220.0,52000.0,2.0,55,36,0,2,16
621610.0,15.28,1.0,35,36,2,0,9
541511.0,61339.0,2.0,57,4,1,2,16
541330.0,46750.0,2.0,26,9,0,2,16
722211.0,33.28,1.0,80,33,3,3,9
424930.0,18886.0,2.0,49,36,0,0,9
541330.0,188880.0,2.0,102,46,1,2,26
3344.0,56639.0,2.0,126,4,0,2,26
541511.0,70866.0,2.0,57,25,1,2,16
541519.0,102000.0,2.0,57,20,1,0,16
541511.0,75733.0,2.0,57,40,1,2,16
611210.0,70000.0,2.0,102,4,0,2,11
611310.0,43500.0,2.0,24,10,1,2,16
541511.0,79.57,1.0,57,33,3,0,16
722110.0,21.88,1.0,103,36,1,0,3
611310.0,47539.73,2.0,57,37,1,3,16
561621.0,16.39,1.0,116,36,2,2,16
454112.0,77293.0,2.0,57,6,1,0,16
623110.0,8.18,1.0,102,4,0,3,3
624410.0,11.7,1.0,101,33,2,2,2
238220.0,40040.0,2.0,37,48,2,0,9
611310.0,42000.0,2.0,106,10,0,2,16
722110.0,15.35,1.0,116,4,1,3,10
541310.0,29.58,1.0,99,4,3,0,2
333.0,67600.0,2.0,42,4,1,2,16
517212.0,142189.0,2.0,116,40,3,0,3
611310.0,49481.0,2.0,57,1,0,2,16
541519.0,30.96,1.0,57,24,0,0,16
611310.0,85000.0,2.0,24,23,2,2,16
524210.0,54475.0,2.0,81,46,1,2,10
621340.0,22.86,1.0,102,33,0,0,16
611310.0,41496.0,2.0,133,13,0,2,16
722110.0,15.25,1.0,63,4,3,0,10
339911.0,18.0,1.0,85,42,0,0,9
4841.0,10.95,1.0,19,15,0,2,10
541910.0,99600.0,2.0,57,46,3,2,16
811211.0,107827.0,2.0,66,37,2,2,7
334111.0,63921.7,2.0,57,4,0,2,26
517110.0,120000.0,2.0,57,33,2,2,16
541890.0,22.16,1.0,54,4,1,2,16
237310.0,62171.0,2.0,85,46,1,2,16
814110.0,8.0,1.0,65,9,0,0,3
541511.0,28.89,1.0,57,33,0,2,16
522110.0,110000.0,2.0,57,36,3,2,16
622110.0,170000.0,2.0,57,32,0,2,16
523110.0,116000.0,2.0,57,36,2,0,16
541512.0,98000.0,2.0,26,48,2,0,10
517212.0,89648.0,2.0,57,5,2,2,16
238170.0,23.44,1.0,35,33,3,0,9
454112.0,90834.0,2.0,57,6,2,2,16
713910.0,18.13,1.0,116,4,0,0,7
722110.0,21.34,1.0,66,9,1,0,16
454111.0,21.78,1.0,116,33,3,2,16
541710.0,120000.0,2.0,85,7,3,2,39
531.0,42182.0,2.0,66,36,0,2,7
541511.0,79331.0,2.0,97,33,0,2,16
51121.0,60590.0,2.0,116,4,0,2,16
3363.0,80787.0,2.0,42,16,2,0,7
238160.0,11.72,1.0,35,33,0,0,9
236220.0,80455.0,2.0,116,36,2,2,16
532411.0,85342.0,2.0,66,46,1,2,16
561730.0,14.66,1.0,37,33,0,0,9
541611.0,81600.0,2.0,57,36,1,2,16
551112.0,95000.0,2.0,57,15,0,0,16
334220.0,76232.0,2.0,57,4,2,0,16
23.0,13.53,1.0,103,6,1,0,28
238110.0,33675.0,2.0,85,46,3,0,20
81411.0,10.0,1.0,102,7,0,2,2
611310.0,42380.0,2.0,57,44,0,2,17
611310.0,43000.0,2.0,26,15,0,0,16
326299.0,70336.0,2.0,66,23,0,3,16
6111.0,18.21,1.0,102,33,3,0,17
325520.0,75755.0,2.0,133,40,0,0,16
517910.0,106746.0,2.0,57,48,3,0,16
443112.0,38106.0,2.0,116,10,3,2,10
551112.0,120000.0,2.0,57,15,2,0,16
541511.0,27.46,1.0,57,33,0,2,16
445310.0,64605.0,2.0,63,21,3,0,16
323115.0,14.05,1.0,116,4,3,2,10
541513.0,92372.8,2.0,57,4,1,2,16
624110.0,15.48,1.0,66,23,1,2,16
541511.0,80420.0,2.0,116,46,2,2,10
713910.0,21.88,1.0,85,36,1,2,9
511110.0,32500.0,2.0,116,46,0,2,17
541330.0,72000.0,2.0,138,4,1,0,24
61111.0,39647.0,2.0,24,23,0,2,16
325412.0,73840.0,2.0,57,15,0,2,16
5412.0,84000.0,2.0,102,29,3,2,16
541512.0,62421.0,2.0,57,10,0,2,26
813312.0,71400.0,2.0,101,7,1,2,26
541511.0,60000.0,2.0,57,9,0,3,16
541511.0,71800.0,2.0,57,40,1,0,16
541310.0,26.68,1.0,27,36,0,2,17
454111.0,106000.0,2.0,57,51,1,2,16
541511.0,27.46,1.0,57,33,0,2,16
541511.0,300000.0,2.0,61,4,3,2,16
523930.0,90000.0,2.0,71,36,1,2,16
561730.0,9.19,1.0,35,36,0,2,9
334418.0,33.43,1.0,66,4,1,2,7
111.0,15.78,1.0,37,36,1,2,35
541219.0,65250.0,2.0,57,10,2,2,16
541511.0,37.07,1.0,57,33,1,2,16
72112.0,135000.0,2.0,57,35,3,2,16
611310.0,41517.0,2.0,85,46,0,0,16
611110.0,46990.0,2.0,27,46,1,0,16
523110.0,77522.0,2.0,57,36,1,2,16
311811.0,21.88,1.0,85,36,1,2,9
722110.0,12.35,1.0,116,4,3,3,28
551112.0,150000.0,2.0,3,15,2,2,16
52.0,74000.0,2.0,116,23,2,2,16
624410.0,45802.0,2.0,142,9,1,2,27
5415.0,71323.0,2.0,57,25,2,0,16
622110.0,112000.0,2.0,57,9,0,2,16
236115.0,11.71,1.0,85,1,0,0,9
42.0,25.59,1.0,116,33,2,2,16
541511.0,104291.0,2.0,69,21,3,0,10
31499.0,95555.0,2.0,138,1,2,0,16
541613.0,63.09,1.0,57,23,3,2,16
541410.0,61260.0,2.0,101,15,0,2,16
611110.0,80384.0,2.0,102,48,0,0,16
611310.0,120000.0,2.0,25,29,0,2,16
315231.0,32.82,1.0,116,36,1,2,16
334111.0,100000.0,2.0,85,46,2,2,16
541511.0,54000.0,2.0,57,46,0,2,16
332311.0,26000.0,2.0,26,31,2,2,16
334512.0,37939.0,2.0,57,36,0,2,16
2211.0,75000.0,2.0,93,40,2,2,16
541710.0,57779.54,2.0,133,36,1,2,16
541511.0,30.43,1.0,89,33,0,2,16
423330.0,23.39,1.0,139,33,2,2,9
524210.0,8.02,1.0,85,33,0,0,9
541512.0,100000.0,2.0,26,48,1,0,16
488510.0,40000.0,2.0,66,4,0,0,16
238210.0,14.98,1.0,35,36,1,0,9
541330.0,113547.0,2.0,57,46,3,3,16
541330.0,57234.0,2.0,57,17,0,2,16
541511.0,74.21,1.0,57,33,3,2,16
112210.0,36442.0,2.0,35,29,1,0,24
339932.0,110136.0,2.0,138,4,3,3,16
541511.0,74.21,1.0,57,33,3,2,16
511210.0,171101.0,2.0,138,4,1,2,16
541512.0,84000.0,2.0,57,48,0,0,16
611310.0,50000.0,2.0,116,15,0,2,16
541511.0,107000.0,2.0,57,48,3,2,16
3363.0,64000.0,2.0,57,23,0,3,16
541690.0,90709.0,2.0,57,48,1,0,16
541511.0,70221.0,2.0,57,20,0,2,26
339112.0,86382.0,2.0,45,37,3,3,16
541720.0,84000.0,2.0,117,20,3,2,16
541512.0,38.05,1.0,57,33,1,2,16
23.0,20.82,1.0,116,48,2,0,3
337110.0,49733.0,2.0,37,48,1,2,9
5416.0,85000.0,2.0,57,21,1,2,16
5415.0,65000.0,2.0,26,21,1,2,16
722110.0,14.9,1.0,81,45,0,2,9
814110.0,25000.0,2.0,102,21,0,0,14
511210.0,73757.0,2.0,44,40,2,2,26
54151.0,49.21,1.0,57,4,2,0,16
519190.0,98000.0,2.0,26,36,0,2,16
523930.0,115000.0,2.0,104,36,3,2,16
54171.0,108306.0,2.0,58,4,1,2,16
541990.0,88421.0,2.0,57,10,3,2,16
541511.0,104291.0,2.0,57,21,3,0,17
54151.0,63000.0,2.0,102,23,0,0,16
54151.0,61776.0,2.0,102,23,0,3,16
55111.0,83304.0,2.0,57,45,3,2,16
541330.0,72051.0,2.0,57,4,1,2,16
111331.0,52000.0,2.0,85,36,3,0,9
611310.0,46434.0,2.0,19,20,0,0,16
611110.0,39880.8,2.0,3,24,0,2,16
337110.0,9.98,1.0,49,33,0,0,9
623210.0,17.0,1.0,93,21,1,2,16
62111.0,67200.0,2.0,100,41,2,2,16
523110.0,129100.0,2.0,42,36,1,2,16
515111.0,80475.0,2.0,57,36,1,2,16
334510.0,80538.0,2.0,57,39,2,2,16
611110.0,69500.0,2.0,133,46,3,2,16
611310.0,41593.2,2.0,26,46,1,2,16
611110.0,41500.0,2.0,133,46,0,2,16
423720.0,78000.0,2.0,138,48,2,3,16
541511.0,89024.0,2.0,57,4,3,2,16
541511.0,70000.0,2.0,57,40,1,3,16
33111.0,23.99,1.0,101,36,1,0,9
541710.0,65250.0,2.0,126,4,0,2,16
442.0,57886.0,2.0,24,33,0,0,16
541710.0,65000.0,2.0,24,10,1,2,16
541211.0,92000.0,2.0,57,36,0,2,16
452112.0,49000.0,2.0,57,2,0,2,16
332323.0,83616.0,2.0,138,6,0,0,16
51721.0,81514.94,2.0,62,51,0,2,16
541511.0,72000.0,2.0,57,21,1,3,16
541511.0,72000.0,2.0,57,21,1,3,16
722110.0,13.39,1.0,85,33,3,3,9
325411.0,98000.0,2.0,24,36,3,2,16
5414.0,9.63,1.0,85,23,2,3,9
541511.0,30.0,1.0,57,33,0,2,16
722110.0,13.59,1.0,85,36,2,0,9
624410.0,11.77,1.0,101,33,0,0,3
334519.0,111803.51,2.0,138,5,1,2,26
51721.0,59757.0,2.0,57,46,0,2,16
311821.0,13.74,1.0,85,36,1,0,9
115210.0,40220.0,2.0,106,46,0,0,16
541511.0,35.93,1.0,57,33,1,0,16
541511.0,110240.0,2.0,57,48,3,0,16
6113.0,39000.0,2.0,62,29,0,2,16
541512.0,130460.0,2.0,24,4,1,2,16
541330.0,57387.0,2.0,57,46,0,0,16
611310.0,43397.0,2.0,102,52,0,3,17
448110.0,8.72,1.0,85,36,0,2,9
541690.0,69000.0,2.0,26,5,1,2,16
541511.0,35.93,1.0,57,33,1,2,16
541512.0,103880.0,2.0,57,4,1,2,16
541511.0,40.0,1.0,57,33,2,0,16
54181.0,108180.8,2.0,57,4,2,2,16
336111.0,88150.0,2.0,26,23,3,2,16
238320.0,37.7,1.0,103,33,0,3,28
236116.0,24.18,1.0,103,36,2,2,3
541330.0,140000.0,2.0,24,4,1,2,16
814110.0,12.05,1.0,18,6,3,0,3
541512.0,52000.0,2.0,57,40,0,2,16
448320.0,90000.0,2.0,61,36,0,2,16
541511.0,64085.0,2.0,57,48,0,2,16
541512.0,95327.0,2.0,57,4,1,2,16
541512.0,95327.0,2.0,89,4,1,2,16
611110.0,41500.0,2.0,27,46,0,0,16
54151.0,72405.0,2.0,57,29,0,2,16
541512.0,95327.0,2.0,57,4,1,0,16
5415.0,91000.0,2.0,24,51,0,2,16
454112.0,66498.0,2.0,57,6,0,2,16
541511.0,62130.0,2.0,57,48,0,0,16
813110.0,36999.0,2.0,116,4,2,2,10
54151.0,77584.0,2.0,57,33,1,2,16
541511.0,63294.0,2.0,57,33,0,2,16
541511.0,62130.0,2.0,57,48,0,2,16
221210.0,95000.0,2.0,57,6,1,2,16
54121.0,23.26,1.0,16,21,3,2,3
541511.0,70000.0,2.0,57,4,0,0,16
541511.0,77000.0,2.0,57,46,1,2,16
541380.0,55000.0,2.0,57,21,0,0,16
541511.0,77000.0,2.0,57,46,1,2,16
541511.0,94000.0,2.0,5,4,2,2,8
611110.0,40666.0,2.0,57,15,0,2,16
336412.0,75500.0,2.0,57,4,0,2,16
531312.0,21.53,1.0,85,4,0,0,9
541511.0,75000.0,2.0,57,48,1,0,16
621210.0,83500.0,2.0,133,21,1,2,2
541410.0,50.29,1.0,116,4,1,3,3
212312.0,65000.0,2.0,57,46,2,2,16
541511.0,75000.0,2.0,57,48,1,3,16
721110.0,43.62,1.0,57,48,1,2,16
541511.0,51000.0,2.0,57,15,0,2,16
333132.0,101962.0,2.0,57,46,3,2,16
541512.0,80000.0,2.0,57,6,0,2,16
315212.0,27.68,1.0,102,4,1,2,2
541511.0,65000.0,2.0,57,6,0,2,16
71391.0,19.15,1.0,115,9,3,0,20
311812.0,22.68,1.0,85,36,1,0,9
313312.0,65000.0,2.0,126,36,0,2,16
5415.0,104000.0,2.0,57,46,1,0,16
92311.0,86000.0,2.0,97,36,0,2,16
562910.0,17.0,1.0,85,1,3,0,9
541511.0,48000.0,2.0,57,53,0,2,26
541512.0,60000.0,2.0,57,40,0,2,16
814110.0,12.0,1.0,102,43,3,0,2
484110.0,15.12,1.0,27,36,2,0,9
238330.0,22.24,1.0,35,36,1,0,9
541512.0,74797.0,2.0,57,21,1,2,16
334.0,99000.0,2.0,126,4,1,2,16
72221.0,33.41,1.0,57,21,2,0,2
424510.0,57658.0,2.0,24,24,2,2,16
511130.0,105000.0,2.0,57,33,3,2,16
531312.0,74000.0,2.0,116,10,1,2,16
721110.0,87526.0,2.0,24,46,0,2,17
236.0,13.56,1.0,102,11,2,0,28
531190.0,12.18,1.0,85,36,0,0,9
722110.0,17.8,1.0,116,4,1,2,3
488510.0,35.75,1.0,66,4,2,2,6
424930.0,11.97,1.0,85,33,2,2,9
238220.0,19.24,1.0,85,29,1,2,19
621111.0,86798.0,2.0,27,6,1,2,16
61131.0,49490.0,2.0,133,46,0,2,16
339931.0,75363.0,2.0,18,9,3,0,16
621111.0,25.54,1.0,85,36,0,0,2
813110.0,61318.0,2.0,116,4,1,0,10
211111.0,97500.0,2.0,57,4,2,2,16
311812.0,10.84,1.0,35,36,1,0,9
51721.0,77500.0,2.0,26,46,0,0,16
448130.0,82800.0,2.0,57,4,1,2,16
541611.0,156500.0,2.0,138,36,2,2,16
541511.0,80000.0,2.0,57,36,1,0,16
541940.0,52000.0,2.0,24,4,0,2,39
423740.0,106267.0,2.0,142,9,2,0,27
518210.0,119114.7,2.0,57,33,1,2,16
523.0,80000.0,2.0,26,15,1,2,16
541511.0,103500.0,2.0,57,33,3,2,26
445210.0,23899.0,2.0,59,21,1,2,28
623312.0,11.89,1.0,102,4,3,2,22
5412.0,400000.0,2.0,138,33,1,0,16
56172.0,11.36,1.0,18,20,1,0,9
722110.0,10.11,1.0,85,36,3,0,9
54151.0,65374.0,2.0,57,29,0,2,16
722110.0,31.44,1.0,116,4,1,0,6
517910.0,75000.0,2.0,57,10,0,2,16
517910.0,71750.0,2.0,57,10,0,2,16
541511.0,52811.0,2.0,57,10,1,2,16
541512.0,70000.0,2.0,57,4,0,2,16
424210.0,25.33,1.0,116,4,1,3,2
211111.0,89149.0,2.0,57,4,1,2,16
334413.0,115192.0,2.0,42,4,2,2,26
611110.0,47905.0,2.0,102,2,1,2,16
623312.0,18000.0,2.0,102,3,1,0,3
623312.0,18000.0,2.0,102,3,1,0,20
61131.0,65846.0,2.0,57,1,0,2,16
314121.0,26000.0,2.0,116,46,2,2,11
334220.0,166400.0,2.0,62,4,1,0,26
621111.0,138332.0,2.0,35,1,0,3,16
445120.0,7.78,1.0,116,7,0,0,10
519190.0,122000.0,2.0,57,36,1,0,16
722110.0,31.55,1.0,37,36,2,2,9
611310.0,73216.0,2.0,26,21,3,2,16
541511.0,70000.0,2.0,57,3,1,3,16
541511.0,65374.4,2.0,57,33,0,2,16
541512.0,90709.0,2.0,57,48,1,2,16
522320.0,79622.0,2.0,57,5,1,0,16
621111.0,40310.0,2.0,16,48,3,2,9
541512.0,80000.0,2.0,57,40,1,2,16
541511.0,50000.0,2.0,57,8,0,2,16
48412.0,33800.0,2.0,115,38,0,0,19
541511.0,98322.0,2.0,24,10,3,2,26
541511.0,69060.0,2.0,57,36,1,2,16
23833.0,20.36,1.0,85,36,1,0,9
52222.0,18.74,1.0,35,36,1,0,9
33911.0,56000.0,2.0,57,15,0,0,16
541511.0,47000.0,2.0,57,40,0,0,16
812930.0,11.5,1.0,18,36,3,0,3
445110.0,17.13,1.0,116,4,2,0,16
7221.0,14.51,1.0,35,36,1,0,9
5415.0,68090.0,2.0,57,35,1,2,16
424490.0,148512.0,2.0,85,46,3,2,6
541511.0,79539.0,2.0,57,29,1,2,16
611110.0,60141.0,2.0,102,48,0,0,16
333220.0,12.43,1.0,85,36,2,0,9
238320.0,22.42,1.0,103,36,2,0,3
54133.0,106018.0,2.0,57,46,2,2,16
541511.0,88858.0,2.0,57,4,0,2,16
541511.0,88858.0,2.0,57,4,0,2,16
541511.0,88858.0,2.0,57,4,0,2,16
541511.0,48984.0,2.0,57,4,0,2,16
722110.0,13.36,1.0,35,36,1,3,9
541519.0,99653.0,2.0,57,4,1,2,16
112120.0,11.44,1.0,85,40,1,0,9
611310.0,16.83,1.0,18,54,0,3,16
621111.0,260000.0,2.0,36,54,0,2,16
8141.0,10.0,1.0,85,4,2,2,9
621511.0,19.57,1.0,102,36,0,0,16
541511.0,62000.0,2.0,57,4,0,0,16
541310.0,49000.0,2.0,116,36,0,2,17
541512.0,81390.0,2.0,26,4,1,2,16
453998.0,63000.0,2.0,57,49,2,2,16
541940.0,90000.0,2.0,57,4,0,2,16
424340.0,60133.0,2.0,116,36,3,2,3
541211.0,81500.0,2.0,26,33,1,2,16
541511.0,71427.0,2.0,57,23,1,2,16
531120.0,53248.0,2.0,69,4,0,2,16
541511.0,51.0,1.0,57,33,3,2,16
624190.0,25.15,1.0,54,36,2,2,16
511210.0,120000.0,2.0,24,48,1,2,16
621210.0,150.0,1.0,75,46,1,2,16
518210.0,66280.26,2.0,123,33,0,2,16
311812.0,12.64,1.0,57,21,3,2,9
517.0,69576.0,2.0,85,33,3,0,16
333992.0,14.41,1.0,85,33,0,0,9
518210.0,93850.0,2.0,116,46,2,2,16
814110.0,18970.0,2.0,102,3,2,2,28
541330.0,76357.0,2.0,24,48,3,0,16
541511.0,31.61,1.0,26,4,1,2,10
541330.0,94578.0,2.0,57,15,1,2,16
541990.0,24.93,1.0,101,33,0,0,16
541511.0,45000.0,2.0,57,10,0,3,16
334111.0,104035.0,2.0,24,4,0,2,16
51721.0,77250.0,2.0,57,46,0,2,26
56173.0,12.93,1.0,85,4,3,0,9
8141.0,22069.0,2.0,11,29,3,2,3
541511.0,106600.0,2.0,57,15,3,3,16
551112.0,88462.0,2.0,57,15,2,2,16
